Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","CR2032","BatteryHolder_Keystone_103_1x20mm",149.225000,-69.850000,90.000000,top
"C1","0.1uF","C_Disc_D6.0mm_W2.5mm_P5.00mm",100.965000,-67.310000,270.000000,top
"C2","0.1uF","C_Disc_D6.0mm_W2.5mm_P5.00mm",100.965000,-109.220000,90.000000,top
"C3","0.1uF","C_Disc_D6.0mm_W2.5mm_P5.00mm",133.985000,-112.395000,270.000000,top
"C4","0.1uF","C_Disc_D6.0mm_W2.5mm_P5.00mm",114.300000,-55.880000,270.000000,top
"C5","0.1uF","C_Disc_D6.0mm_W2.5mm_P5.00mm",100.965000,-86.360000,270.000000,top
"C6","0.1uF","C_Disc_D6.0mm_W2.5mm_P5.00mm",185.420000,-59.817000,0.000000,top
"C7","22uF","CP_Radial_D5.0mm_P2.50mm",174.625000,-125.095000,0.000000,top
"J1","IDE_CONNECTOR","PinSocket_2x20_P2.54mm_Vertical",165.100000,-108.077000,180.000000,top
"J2","CF Adapter Power","PinSocket_1x02_P2.54mm_Vertical",181.951000,-59.817000,270.000000,top
"J4","Addresses","PinHeader_2x03_P2.54mm_Vertical",101.600000,-55.880000,0.000000,top
"J5","Addresses","PinHeader_2x03_P2.54mm_Vertical",107.950000,-55.880000,0.000000,top
"U1","BIOS FLASH","DIP-32_W15.24mm_Socket",104.140000,-82.550000,90.000000,top
"U2","74HCT245","DIP-20_W7.62mm_Socket",137.160000,-120.015000,90.000000,top
"U3","ATF/GAL22V10x-15","DIP-24_W7.62mm_Socket",101.600000,-120.015000,90.000000,top
"U4","DS1315","DIP-16_W7.62mm_Socket",117.475000,-63.500000,90.000000,top
"U5","AS6C4008-55PCN","DIP-32_W15.24mm_Socket",104.140000,-101.600000,90.000000,top
"Y1","32.768 KHz","Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal",120.015000,-52.705000,90.000000,top
