Comment,Designator,Footprint,LCSC
"CR2032","BAT1","Battery:BatteryHolder_Keystone_103_1x20mm",""
"0.1uF","C1,C2,C3,C4,C5,C6","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","C84772"
"22uF","C7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.5mm_Pad",""
"IDE_CONNECTOR","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"CF Adapter Power","J2","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Bus_ISA_8bit","J3","00Custom:BUS_XT",""
"Addresses","J4,J5","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"BIOS FLASH","U1","Package_DIP:DIP-32_W15.24mm_Socket",""
"74HCT245","U2","Package_DIP:DIP-20_W7.62mm_Socket",""
"ATF/GAL22V10x-15","U3","Package_DIP:DIP-24_W7.62mm_Socket",""
"DS1315","U4","Package_DIP:DIP-16_W7.62mm_Socket",""
"AS6C4008-55PCN","U5","Package_DIP:DIP-32_W15.24mm_Socket",""
"32.768 KHz","Y1","Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal",""
