Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_1206_3216Metric,100.965,-95.885,90,top
C2,0.1uF,C_1206_3216Metric,133.985,-75.565,90,top
C3,0.1uF,C_1206_3216Metric,100.965,-75.565,90,top
C4,0.1uF,C_1206_3216Metric,111.76,-59.69,180,top
C5,0.1uF,C_1206_3216Metric,186.69,-59.817,0,top
C6,22-44uF 16-25v,CP_EIA-3528-15_AVX-H,100.965,-121.92,0,top
J1,IDE_CONNECTOR,PinSocket_2x20_P2.54mm_Vertical,165.1,-108.077,180,top
J2,CF Adapter Power,PinSocket_1x02_P2.54mm_Vertical,181.951,-59.817,270,top
R1,10K,R_1206_3216Metric,102.235,-69.85,0,top
R2,10K,R_1206_3216Metric,102.235,-66.675,0,top
R3,10K,R_1206_3216Metric,102.235,-63.5,0,top
U1,BIOS FLASH,DIP-32_W15.24mm_Socket,100.965,-115.57,90,top
U2,74HCT245,DIP-20_W7.62mm_Socket,133.985,-87.63,90,top
U4,DS1315,DIP-16_W7.62mm_Socket,116.205,-67.31,90,top
Y1,32.768 KHz,Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal,116.205,-72.39,90,top
