Comment,Designator,Footprint,LCSC
"CR2032","BAT1","Battery:BatteryHolder_Keystone_1060_1x2032",""
"0.1uF","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11","Capacitor_SMD:C_1206_3216Metric"," C24497"
"33uF 16v","C12,C13","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H",""
"4.7uF 35v","C14,C15","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H",""
"DB9 Male","CN1","w_conn_d-sub:DB_9M",""
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.5mm_Pad",""
"AlignmentHole_Pad","H5,H6,H7","00Custom:AlignmentHole",""
"DB-9 Faceplate","H8","00Custom:DB9_Face",""
"IDE_CONNECTOR","J1","Connector_PinSocket_2.00mm:PinSocket_2x22_P2.00mm_Horizontal",""
"Bus_Tandy_Plus","J2","00Custom:TandyPlusSocket",""
"Bus_Tandy_Plus_Through","J3","00Custom:TandyPlusSocket",""
"10K","R1,R2,R3,R4,R5,R6,R7","Resistor_SMD:R_1206_3216Metric","C17902"
"SW_DIP_x10","SW1","Button_Switch_THT:SW_DIP_SPSTx10_Slide_9.78x27.58mm_W7.62mm_P2.54mm",""
"BIOS FLASH","U1","Package_DIP:DIP-32_W15.24mm_Socket","C146583"
"74HCT245","U2","Package_DIP:DIP-20_W7.62mm_Socket","C72118"
"1.8432 MHz","U3","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","C386895"
"DS1315","U4","Package_DIP:DIP-16_W7.62mm_Socket","C72115"
"AS6C4008-55PCN","U5","Package_DIP:DIP-32_W15.24mm_Socket","C146583"
"16C550","U6","Package_QFP:LQFP-48_7x7mm_P0.5mm","C181382"
"GD75232N","U7","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","C1499602"
"GAL16V8","U8,U9","Package_DIP:DIP-20_W7.62mm_Socket","C72118"
"32.768 kHz","Y1","Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal","C182062"
