Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BAT1,CR2032,BatteryHolder_Keystone_1060_1x2032,6.35,74.295,0,top
C1,0.1uF,C_1206_3216Metric,-66.04,63.5,180,top
C2,0.1uF,C_1206_3216Metric,-46.99,22.02,270,top
C3,0.1uF,C_1206_3216Metric,-2.19,45.46,90,top
C4,0.1uF,C_1206_3216Metric,-46.99,80.645,180,top
C5,0.1uF,C_1206_3216Metric,-66.04,43.815,180,top
C6,0.1uF,C_1206_3216Metric,-2.19,63.21,180,top
C7,0.1uF,C_1206_3216Metric,18.96,38.71,90,top
C8,0.1uF,C_1206_3216Metric,-93.345,52.705,90,top
C9,0.1uF,C_1206_3216Metric,-93.345,33.02,90,top
C10,0.1uF,C_1206_3216Metric,-17.78,28.46,180,top
C11,0.1uF,C_1206_3216Metric,-17.78,48.26,180,top
C12,33uF 16v,CP_EIA-3528-15_AVX-H,5.715,0,0,top
C13,33uF 16v,CP_EIA-3528-15_AVX-H,-92.075,80.645,0,top
C14,4.7uF 35v,CP_EIA-3528-15_AVX-H,5.715,10.16,0,top
C15,4.7uF 35v,CP_EIA-3528-15_AVX-H,5.715,5.715,0,top
R1,10K,R_1206_3216Metric,-92.075,57.785,0,top
R2,10K,R_1206_3216Metric,-92.075,60.96,0,top
R3,10K,R_1206_3216Metric,-92.075,64.135,0,top
R4,10K,R_1206_3216Metric,-92.075,67.31,0,top
R5,10K,R_1206_3216Metric,-92.075,70.485,0,top
R6,10K,R_1206_3216Metric,-92.075,73.66,0,top
R7,10K,R_1206_3216Metric,-92.075,76.835,0,top
SW1,SW_DIP_x10,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,-86.36,78.105,0,top
U1,BIOS FLASH,DIP-32_W15.24mm_Socket,-61.595,48.26,90,top
U2,74HCT245,DIP-20_W7.62mm_Socket,-43.815,15.875,90,top
U3,1.8432 MHz,Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm,3.06,43.96,0,top
U4,DS1315,DIP-16_W7.62mm_Socket,-42.545,73.025,90,top
U5,AS6C4008-55PCN,DIP-32_W15.24mm_Socket,-61.595,28.575,90,top
U6,16C550,LQFP-48_7x7mm_P0.5mm,2.31,54.21,0,top
U7,GD75232,SOIC-20W_7.5x12.8mm_P1.27mm,14.31,29.235,0,top
U8,ATF/GAL16V8x-15 (Mem Logic),DIP-20_W7.62mm_Socket,-93.345,40.64,90,top
U9,ATF/GAL16V8x-15 (IO Logic),DIP-20_W7.62mm_Socket,-93.345,20.955,90,top
Y1,32.768 kHz,Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal,-45.72,73.025,270,top
